cnpj,gtin,city,state,name,description
31565104000177,7892840256043,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,SALGADINHO ELMA CHIPS QUEIJO 164G FANDANGOS
60409075000152,7891000056615,SAO PAULO,SP,NESTLE BRASIL LTDA.,LEITE EM PO NESTOGENO 2 NESTLE
60409075000152,7891000056615,SAO PAULO,SP,NESTLE BRASIL LTDA.,LEITE EM PO NESTOGENO 2 NESTLE
89967939000133,7896037913658,FLORES DA CUNHA,RS,FANTE INDUSTRIA DE BEBIDAS LTDA,SUCO QUINTA DO MORGADO 1 5LT INTEG UVA
87315834000174,7891330015139,ARROIO DO MEIO,RS,NEUGEBAUER ALIMENTOS S/A,CHOCOLATE BIBS NEUGEBAUER AMENDOIM
52034139000150,7896003703085,MARILIA,SP,MARILAN ALIMENTOS S/A,BISCOITO MANTEIGA MARILAM 24/4
60498706000157,7896036095119,SAO PAULO,SP,CARGILL AGRICOLA S A,CICA POMODORO CAIXA
55223127000161,7896263500202,POTIRENDABA,SP,BEBIDAS POTY LTDA,REFRIG.POTY ROLLER COLA LT
22229207000175,7896021314324,MACHADO,MG,PASTIFICIO SANTA AMALIA S/A.,MACARRÃO SANTA AMÁLIA SPECIALE TAGLIATELLE
30153506000100,7896000716866,NOVA IGUACU,RJ,NIELY DO BRASIL INDUSTRIAL LTDA,CREME PARA PENTEAR NIELY GOLD 280G PÓS-QUÍMICA UNIT
59557124000115,7891035040429,SAO PAULO,SP,RECKITT BENCKISER ( BRASIL ) LTDA.,ALVEJANTE VANISH LIQUIDO 3 LITROS
60618436000170,7896061300233,SAO PAULO,SP,CILASI ALIMENTOS S/A,BISCOITO BELAVISTA RECHE BANANA 130GR
87456562001870,7893500090779,PELOTAS,RS,JOSAPAR JOAQUIM OLIVEIRA SA PARTICIPACOES,MIST P/PAO CASEIRO TIO JOAO 310G
2176615000107,7898126400247,ALVINOPOLIS,MG,BIO-EXTRATUS COSMETIC NATURAL LTDA,SHAMPOO BIO EXTRATUS TUTANO E CERAMIDAS
7604556000136,7896005401224,RECIFE,PE,EMPRESA BRASILEIRA DE BEBIDAS E ALIMENTOS S/A,NECTAR DA FRUTA PESSEGO
7604556000136,7896000583536,RECIFE,PE,EMPRESA BRASILEIRA DE BEBIDAS E ALIMENTOS S/A,SUCO MAGUARY PESSEGO
10367257000130,7898942815010,PIRACICABA,SP,CERVEJARIA BAZZO LTDA,CERVEJA DAMA BIER PILSEN GF
60934551000588,7898409952913,SAO PAULO,SP,AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,MIST.BOLO FLEISCHMAN BROW 450G
91589507000188,7896348841800,NOVA PETROPOLIS,RS,COOPERATIVA AGRO PECUARIA PETROPOLIS LTDA,BEBIDA LACTEA GARRAFINHA PIA S. FRUTAS
11507415000172,7896013106357,PAULISTA,PE,INDUSTRIAS REUNIDAS RAYMUNDO DA FONTE SA,SABAO LIQ SONHO FRESH REFIL 500ML
31565104000177,7892840126216,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,SALGADINHO PINGO D'OURO BACON
62461140000114,7891203050441,SAO PAULO,SP,LUA NOVA IND E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,BISCOITO MARIA
61075099000185,7896237900793,SAO PAULO,SP,IRMAOS RAIOLA & CIA. LTDA,AZEITONA RAIOLA PRETA
73410326000160,7897395040727,RIO DE JANEIRO,RJ,CERVEJARIA PETROPOLIS S/A,CERVEJA ITAIPAVA LT 550ML
12285276000142,7896004401386,MACEIO,AL,SOCOCO SA INDUSTRIAS ALIMENTICIAS,DOCE COCO BRANCO
52034139000150,7896003706536,MARILIA,SP,MARILAN ALIMENTOS S/A,BISCOITO PIT STOP MARILAN LIGHT
16849231000104,7896051123835,BELO HORIZONTE,MG,ITAMBE ALIMENTOS S/A,IOGURTE ITAMBÉ MAMÃO COM LARANJA
51377935000122,7896070121010,LEME,SP,MASSAS ALIMENTICIAS DA ROZ LTDA,MACARRÃO DA ROZ CAS TALHARINI 1
7604556000136,7896000594044,RECIFE,PE,EMPRESA BRASILEIRA DE BEBIDAS E ALIMENTOS S/A,SUCO MAGUARY NECTAR LARANJA
23643315000152,7891025103073,SAO PAULO,SP,DANONE LTDA,ACTIMEL DANONE POLPA DE FRUTAS 4 UNIDADES
7526557000100,7891991010832,SAO PAULO,SP,AMBEV S.A.,CERVEJA BUDWEISER
88621586000152,7896029220917,SAO MARCOS,RS,IRMAOS MOLON LTDA,SUCO SINUELO TINTO UVA INTEGRAL 1L
60409075000152,7891000010433,SAO PAULO,SP,NESTLE BRASIL LTDA.,COBERTURA CHOCOLATE DIET NESTLE 500GR
60409075000152,7891000010433,SAO PAULO,SP,NESTLE BRASIL LTDA.,COBERTURA CHOCOLATE DIET NESTLE 500GR
7526557000100,78909229,SAO PAULO,SP,AMBEV S.A.,CERVEJA ANTARCTICA PILSEN EXTRA - GRF
2097007000107,7896262304368,VINHEDO,SP,PERFETTI VAN MELLE BRASIL LTDA.,GOMA MENTOS STICK FRUIT C/3UNIDADE
23643315000152,7891025106838,SAO PAULO,SP,DANONE LTDA,IOGURTE GREGO DANONE FRUTAS VERMELHAS
60409075000152,7891000462300,SAO PAULO,SP,NESTLE BRASIL LTDA.,CHOCOLATE.CHOKITO NESTLE
60409075000152,7891000462300,SAO PAULO,SP,NESTLE BRASIL LTDA.,CHOCOLATE.CHOKITO NESTLE
16849231000104,7896051146209,BELO HORIZONTE,MG,ITAMBE ALIMENTOS S/A,IOGURTE GREGO ITAMBÉ SOBREMESAS
38875365000132,7897942100065,SAO PAULO,SP,INDUSTRIA ALIMENTICIA ALFA LTDA,MACARRÃO ORIENTAL BIFUM DE ARROZ 200GR
78860863000126,7896327514145,CHAPECO,SC,APTI ALIMENTOS LTDA,GELAT APTI LIMAO 36X | GELATINA APTI
50221019000136,7896052601646,ITU,SP,HNK BR INDUSTRIA DE BEBIDAS LTDA.,REFRIG SCHIN CITRUS LT
50564053000880,7891022849356,SAO BERNARDO DO CAMPO,SP,BOMBRIL S/A,MON BIJOU MAGIA PASSA FÁCIL 2 L
22229207000175,7896021314331,MACHADO,MG,PASTIFICIO SANTA AMALIA S/A.,MACARRÃO SANTA AMÁLIA SPECIALE FUSILLI
5540409000114,7898957617067,CURITIBA,PR,LATINEX INTERNATIONAL IMPORTACAO E EXPORTACAO LTDA,MOLHO FRONTERA QUEIJO
60409075000152,7891000259405,SAO PAULO,SP,NESTLE BRASIL LTDA.,BISC RECH PASSATEMPO NESTLE 120G CHOC/CHOC.
60409075000152,7891000259405,SAO PAULO,SP,NESTLE BRASIL LTDA.,BISC RECH PASSATEMPO NESTLE 120G CHOC/CHOC.
54516661003704,7891010804589,SAO JOSE DOS CAMPOS,SP,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS PARA SAUDE LTDA.,CONDICIONADOR JOHNSON'S BABY HIDRATAÇÃO INTENSA
2744273000176,7898125760151,MACHADO,MG,RESERVA DE MINAS INDUSTRIA E COMERCIO LTDA.,GOIABADA CASCAO 680G RESERVA MINAS
43643857000132,7896079827630,SAO PAULO,SP,IND DE TORRONE NOSSA SENHORA DE MONTEVERGINE LTDA,BOMBOM MONTEVERGINE SONATA TRUFAS
1358874001230,7891051037939,SAO PAULO,SP,PROCTER & GAMBLE INDUSTRIAL E COMERCIAL LTDA,ENXAGUATÓRIO ANTISSÉPTICO ORAL-B 250ML HORTELÃ UNIT
15488031000100,7898933879168,CURITIBA,PR,JACQUET BRASIL S.A.,MINI BOLO C/ GOTAS DE CHOCO 30G JACQUET
51665073000133,7896286614900,RIBEIRAO PRETO,SP,INDUSTRIA DE PRODUTOS ALIMENTICIOS CORY LTDA,BALA ICEKISS GELADINHA EUCALIPTO
