cnpj_store,gtin,category,cnpj_manufacturer,city,state,name,description
47508411110687,7892840222642,APERITIVOS E SALGADINHOS,31565104000177,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,SALGADINHO CHEETOS BOLA QUEIJO SUÍÇO
41185455001501,7892840222642,APERITIVOS E SALGADINHOS,31565104000177,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,SALGADINHO CHEETOS BOLA QUEIJO SUÍÇO
17676214000185,7896417204673,MASSAS E MOLHOS,17159518000175,CONTAGEM,MG,DOMINGOS COSTA INDUSTRIAS ALIMENTICIAS SA,MACARRÃO VILMA OVOS PARAFUSO TRICOLOR
9379531000101,7896417204673,MASSAS E MOLHOS,17159518000175,CONTAGEM,MG,DOMINGOS COSTA INDUSTRIAS ALIMENTICIAS SA,MACARRÃO VILMA OVOS PARAFUSO TRICOLOR
39346861029909,7896003737387,"BOLOS, BISCOITOS E BOLACHAS",52034139000150,MARILIA,SP,MARILAN ALIMENTOS S/A,BISC.BAUDUCCO COOKIES 80G PANETTONE GOTAS CHOC.
71322150004408,7891000912805,"BOLOS, BISCOITOS E BOLACHAS",60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,NESTLÉ PASSATEMPO COBERTO COM CHOCOLATE
71322150004408,7891000912805,"BOLOS, BISCOITOS E BOLACHAS",60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,NESTLÉ PASSATEMPO COBERTO COM CHOCOLATE
71322150003266,7891000912805,"BOLOS, BISCOITOS E BOLACHAS",60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,NESTLÉ PASSATEMPO COBERTO COM CHOCOLATE
71322150003266,7891000912805,"BOLOS, BISCOITOS E BOLACHAS",60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,NESTLÉ PASSATEMPO COBERTO COM CHOCOLATE
3640467002219,7891000912805,"BOLOS, BISCOITOS E BOLACHAS",60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,NESTLÉ PASSATEMPO COBERTO COM CHOCOLATE
3640467002219,7891000912805,"BOLOS, BISCOITOS E BOLACHAS",60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,NESTLÉ PASSATEMPO COBERTO COM CHOCOLATE
71322150001301,7891000912805,"BOLOS, BISCOITOS E BOLACHAS",60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,NESTLÉ PASSATEMPO COBERTO COM CHOCOLATE
71322150001301,7891000912805,"BOLOS, BISCOITOS E BOLACHAS",60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,NESTLÉ PASSATEMPO COBERTO COM CHOCOLATE
17676214000185,7891000912805,"BOLOS, BISCOITOS E BOLACHAS",60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,NESTLÉ PASSATEMPO COBERTO COM CHOCOLATE
17676214000185,7891000912805,"BOLOS, BISCOITOS E BOLACHAS",60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,NESTLÉ PASSATEMPO COBERTO COM CHOCOLATE
41185455000378,7896098901298,LIMPEZA ROUPAS,43461789000190,AMPARO,SP,QUIMICA AMPARO LTDA,TIRA MANCHAS TIXAN YPE REFIL 420GR BRANCA
39346861029909,7896098901298,LIMPEZA ROUPAS,43461789000190,AMPARO,SP,QUIMICA AMPARO LTDA,TIRA MANCHAS TIXAN YPE REFIL 420GR BRANCA
71322150001301,7896079832139,BOMBONIERE,43643857000132,SAO PAULO,SP,IND DE TORRONE NOSSA SENHORA DE MONTEVERGINE LTDA,BANANA PASSA COB C/CHOCOLATE RS
3720882000905,7896015528300,DENTAL,33247743000110,RIO DE JANEIRO,RJ,GLAXOSMITHKLINE BRASIL LTDA,CREME DENTAL USO DIÁRIO SENSODYNE 90G RÁPIDO ALÍVIO UNIT
41185455001501,7896015528300,DENTAL,33247743000110,RIO DE JANEIRO,RJ,GLAXOSMITHKLINE BRASIL LTDA,CREME DENTAL USO DIÁRIO SENSODYNE 90G RÁPIDO ALÍVIO UNIT
